eadid	aleph_num
25under25	Aleph Number: <num type="aleph">004624351</num>
aaaarecords	Aleph Number: <num type="aleph">002388063</num>
aafrdu	Aleph Number: <num type="aleph">003916452</num>
aauwdurham	Aleph Number: <num type="aleph">003909803</num>
abbot	Aleph Number: <num type="aleph">002878457</num>
abercrombiefitchcatalogs	Aleph Number: <num type="aleph">003931620</num>
abortioncarenetwork	Aleph Number: <num type="aleph">004838613</num>
abortionconversationproject	Aleph Number: <num type="aleph">004839236</num>
achenbaumalvin	Aleph Number: <num type="aleph">005638697</num>
acker	Aleph Number: <num type="aleph">002017203</num>
acluofnc	Aleph Number: <num type="aleph">002273867</num>
adcouncil	Aleph Number: <num type="aleph">002528803</num>
advertisingephemera	Aleph Number: <num type="aleph">000897846</num>
aefvladivostokphotos	Aleph Number: <num type="aleph">004166205</num>
afghanwarsphotos	Aleph Number: <num type="aleph">004161564</num>
africa	Aleph Number: <num type="aleph">002388073</num>
africanamericanmisc	Aleph Number: <num type="aleph">002779193</num>
africanamericansfilm	Aleph Number: <num type="aleph">003110465 003110470 003110471 003110472 003110467 003110468 003110469 003110473 003110466</num>
agry	Aleph Number: <num type="aleph">000812465</num>
aidthatadvanceswomenposter	Aleph Number: <num type="aleph">004344578</num>
alden	Aleph Number: <num type="aleph">002448931</num>
alfa	Aleph Number: <num type="aleph">002235672</num>
alfaperiodicals	Aleph Number: <num type="aleph">002235671</num>
alfredelizabethbrandcolcivilwarleefamily	Aleph Number: <num type="aleph">3054462</num>
allen	Aleph Number: <num type="aleph">001582405</num>
allengeorgegarland	Aleph Number: <num type="aleph">001634327</num>
allenmp	Aleph Number: <num type="aleph">003818177</num>
alligooddouglass	Aleph Number: <num type="aleph">005857152</num>
allisondorothy	Aleph Number: <num type="aleph">004295229</num>
alveswalter	Aleph Number: <num type="aleph">004261002</num>
amberg	Aleph Number: <num type="aleph">003789049</num>
americancatalin	Aleph Number: <num type="aleph">004198474</num>
americaneconomicassociation	Aleph Number: <num type="aleph">003003074</num>
americanlitmss	Aleph Number: <num type="aleph">003157745</num>
americansforimmigrantjustice	Aleph Number: <num type="aleph">004941636</num>
americansongsheets	Aleph Number: <num type="aleph">004061749</num>
americanwomantraveldiary	Aleph Number: <num type="aleph">002565768</num>
amersocpapyrologists	Aleph Number: <num type="aleph">002981385</num>
amlit	Aleph Number: <num type="aleph">000842377</num>
andersoncharlesroberts	Aleph Number: <num type="aleph">002878441</num>
andersonderek	Aleph Number: <num type="aleph">004057040</num>
andrewscharleswesley	Aleph Number: <num type="aleph">000842378</num>
andrewsj	Aleph Number: <num type="aleph">003309383</num>
andrewsthomas	Aleph Number: <num type="aleph">004313358</num>
anspachtravel	Aleph Number: <num type="aleph">005740146</num>
anthonyandnewlinfamily	Aleph Number: <num type="aleph">004141694</num>
appalachian	Aleph Number: <num type="aleph">002505337</num>
applewhitejames	Aleph Number: <num type="aleph">002667281</num>
arabicmovieposters	Aleph Number: <num type="aleph">005932801</num>
arbabiniku	Aleph Number: <num type="aleph">003844240</num>
arlisse	Aleph Number: <num type="aleph">003121539</num>
arrow	Aleph Number: <num type="aleph">002254458</num>
arthurchester	Aleph Number: <num type="aleph">000842431</num>
artpub	Aleph Number: <num type="aleph">001662922</num>
ashantee	Aleph Number: <num type="aleph">004263429</num>
assocasianstudies	Aleph Number: <num type="aleph">002963990</num>
