original_term	cleaned_term	term_type	eadid_term_source
Rogers, Andrew	new_term	persname	25under25
Ross-Smith, Bayete	new_term	persname	25under25
Myers, Brett	new_term	persname	25under25
Nakadate, Laurel	new_term	persname	25under25
McKee, Brian	new_term	persname	25under25
Ramos, Daniel	new_term	persname	25under25
Levy, Carrie	new_term	persname	25under25
Olujimi, Kambui	new_term	persname	25under25
Moon, Jen	new_term	persname	25under25
Gallery, Wyatt	new_term	persname	25under25
Posehn, Kristin	new_term	persname	25under25
Scaggs, Deirdre A.	new_term	persname	25under25
Thomas, Hank Willis	new_term	persname	25under25
Goodman, Jason	new_term	persname	25under25
Ptak, Laurel	new_term	persname	25under25
Ingram, Jessica	new_term	persname	25under25
Halpern, Greg	new_term	persname	25under25
Lively, Justin	new_term	persname	25under25
Lutterodt, Isabelle	new_term	persname	25under25
Katz, Colby	new_term	persname	25under25
Keasler, Misty	new_term	persname	25under25
Duke University. Center for Documentary Studies	new_term	corpname	25under25
Documentary photography	new_term	subject	25under25
Young photographers -- Pictorial works	new_term	subject	25under25
Photography -- United States	new_term	subject	25under25
Gelatin silver prints	new_term	genreform	25under25
Black-and-white prints (photographs)	new_term	genreform	25under25
Color prints (photographs)	new_term	genreform	25under25
Archive of Documentary Arts (Duke University)	new_term	corpname	25under25
American Association of Advertising Agencies	new_term	corpname	aaaarecords
United States. Federal Communications Commission	new_term	subject	aaaarecords
United States. Federal Trade Commission	new_term	subject	aaaarecords
United States. Food and Drug Administration	new_term	subject	aaaarecords
Advertising -- Moral and ethical aspects	new_term	subject	aaaarecords
Advertising -- United States -- History	new_term	subject	aaaarecords
Advertising -- United States -- History -- 20th century	new_term	subject	aaaarecords
Advertising and children	new_term	subject	aaaarecords
Advertising laws -- United States	new_term	subject	aaaarecords
Antitrust law	new_term	subject	aaaarecords
Corporation reports	new_term	subject	aaaarecords
Deceptive advertising -- United States	new_term	subject	aaaarecords
Marketing -- Ethics -- United States	new_term	subject	aaaarecords
Television advertising	new_term	subject	aaaarecords
Television advertising and children	new_term	subject	aaaarecords
Minutes.	new_term	genreform	aaaarecords
Speeches.	new_term	genreform	aaaarecords
Videotapes.	new_term	genreform	aaaarecords
John W. Hartman Center for Sales, Advertising & Marketing History	new_term	corpname	aaaarecords
American Advertising Federation -- Raleigh Durham	new_term	corpname	aafrdu
Inter-faith Food Shuttle	new_term	corpname	aafrdu
Haven House	new_term	corpname	aafrdu
Me Fine Foundation	new_term	corpname	aafrdu
Wake Enterprises	new_term	corpname	aafrdu
Trade associations -- United States	new_term	subject	aafrdu
Professional associations -- United States	new_term	subject	aafrdu
Advertising	new_term	subject	aafrdu
Advertising, Public service	new_term	subject	aafrdu
American Association of University Women. Durham Branch (N.C.)	new_term	corpname	aauwdurham
College alumnae	new_term	subject	aauwdurham
Durham, N.C.--Higher education	new_term	subject	aauwdurham
Education -- Societies, etc.	new_term	subject	aauwdurham
North Carolina -- Higher education	new_term	geogname	aauwdurham
Women -- Education (Higher)	new_term	subject	aauwdurham
Abbot, W. R.	new_term	persname	abbot
Abbot, Lucy Minor	new_term	persname	abbot
Minor, Carolus	new_term	persname	abbot
Minor, Ann	new_term	persname	abbot
Minor, John B.	new_term	persname	abbot
Abbott family	new_term	famname	abbot
Minor family	new_term	famname	abbot
Henderson, Virginia	new_term	persname	abbot
Holcombe, James Philemon, 1820-1873	new_term	persname	abbot
University of Virginia -- History	new_term	subject	abbot
Bellevue High School	new_term	subject	abbot
Soldiers -- Confederate States of America.	new_term	subject	abbot
Confederate States of America. Army of Northern Virginia -- First regiment of engineers troops	new_term	subject	abbot
Women-Confederate States of America -- Social conditions	new_term	subject	abbot
Courtship -- Virginia -- History -- 19th century,	new_term	subject	abbot
Schools -- Virginia -- Bedford	new_term	subject	abbot
Education -- Southern States -- History -- 19th century	new_term	subject	abbot
Virginia -- Education -- History	new_term	subject	abbot
Virginia -- History -- Civil War, 1861-1865 -- Personal narratives	new_term	subject	abbot
Virginia -- Social life and customs -- History -- 19th century	new_term	subject	abbot
Virginia -- Social life and customs -- History -- 20th century	new_term	subject	abbot
United States -- History -- Civil War, 1861-1865 -- Children	new_term	subject	abbot
Cartes-de-visite	new_term	genreform	abbot
Photographs	new_term	genreform	abbot
Genealogies	new_term	genreform	abbot
Alfred and Elizabeth Brand Collection of Rare Books and Manuscripts	new_term	corpname	abbot
Weber, Bruce, 1946-	new_term	persname	abercrombiefitchcatalogs
Žižek, Slavoj -- Interviews	new_term	persname	abercrombiefitchcatalogs
Abercrombie & Fitch	new_term	corpname	abercrombiefitchcatalogs
Commercial catalogs	new_term	subject	abercrombiefitchcatalogs
Mail-order business	new_term	subject	abercrombiefitchcatalogs
Advertising, Direct-mail -- United States	new_term	subject	abercrombiefitchcatalogs
Advertising and youth -- United States -- History -- 20th century	new_term	subject	abercrombiefitchcatalogs
Advertising and youth -- United States -- History -- 21st century	new_term	subject	abercrombiefitchcatalogs
Advertising and youth -- United States	new_term	subject	abercrombiefitchcatalogs
Advertising -- Brand name products	new_term	subject	abercrombiefitchcatalogs
Advertising -- Clothing and dress	new_term	subject	abercrombiefitchcatalogs
Direct marketing	new_term	subject	abercrombiefitchcatalogs
Fashion photography	new_term	subject	abercrombiefitchcatalogs
Fashion -- Social aspects -- United States -- 20th century	new_term	subject	abercrombiefitchcatalogs
Fashion -- Social aspects -- United States -- 21st century	new_term	subject	abercrombiefitchcatalogs
Popular culture -- United States	new_term	subject	abercrombiefitchcatalogs
Popular culture -- United States -- 20th century	new_term	subject	abercrombiefitchcatalogs
Popular culture -- United States -- 21st century	new_term	subject	abercrombiefitchcatalogs
Target marketing -- United States	new_term	subject	abercrombiefitchcatalogs
United States -- Social life and customs -- 20th century	new_term	subject	abercrombiefitchcatalogs
United States -- Social life and customs -- 21st century	new_term	subject	abercrombiefitchcatalogs
Mail order catalogs.	new_term	genreform	abercrombiefitchcatalogs
Trade catalogs.	new_term	genreform	abercrombiefitchcatalogs
John W. Hartman Center for Sales, Advertising & Marketing History	new_term	corpname	abercrombiefitchcatalogs
National Coalition of Abortion Providers	new_term	corpname	abortioncarenetwork
Abortion Care Network	new_term	corpname	abortioncarenetwork
Abortion Conversation Project	new_term	corpname	abortioncarenetwork
Unborn children (Law)	new_term	subject	abortioncarenetwork
Pro-life movement -- United States	new_term	subject	abortioncarenetwork
Abortion -- Law and legislation	new_term	subject	abortioncarenetwork
Pro-choice movement -- United States	new_term	subject	abortioncarenetwork
Abortion services	new_term	subject	abortioncarenetwork
Abortion counseling	new_term	subject	abortioncarenetwork
Johnston, Margaret (Peg)	new_term	persname	abortionconversationproject
Abortion Conversation Project	new_term	corpname	abortionconversationproject
Abortion Care Network	new_term	corpname	abortionconversationproject
National Coalition of Abortion Providers	new_term	corpname	abortionconversationproject
Abortion services	new_term	subject	abortionconversationproject
Abortion counseling	new_term	subject	abortionconversationproject
Pro-life movement -- United States	new_term	subject	abortionconversationproject
Pro-choice movement -- United States	new_term	subject	abortionconversationproject
Abortion -- Law and legislation	new_term	subject	abortionconversationproject
Sallie Bingham Center for Women's History and Culture	new_term	corpname	abortionconversationproject
Achenbaum, Alvin A.	new_term	persname	achenbaumalvin
7-Eleven, Inc	new_term	corpname	achenbaumalvin
American Honda Motor Company	new_term	corpname	achenbaumalvin
American Red Cross.	new_term	corpname	achenbaumalvin
AT&T (Firm)	new_term	corpname	achenbaumalvin
Bates Worldwide, Inc	new_term	corpname	achenbaumalvin
Block Drug Company	new_term	corpname	achenbaumalvin
Bristol-Myers Company	new_term	corpname	achenbaumalvin
Campbell Soup Company	new_term	corpname	achenbaumalvin
Chrysler Corporation	new_term	corpname	achenbaumalvin
Dairy Queen (Firm)	new_term	corpname	achenbaumalvin
Dentsu	new_term	corpname	achenbaumalvin
Distillers Corporation -- Seagrams Ltd	new_term	corpname	achenbaumalvin
