eadid	title	url
25under25	25 Under 25 photographs 2003	http://library.duke.edu/rubenstein/findingaids/25under25/
aaaarecords	American Association of Advertising Agencies records 1918-1998	http://library.duke.edu/rubenstein/findingaids/aaaarecords/
aafrdu	American Advertising Federation. Raleigh-Durham records 1988-2009	http://library.duke.edu/rubenstein/findingaids/aafrdu/
aauwdurham	American Association of University Women. Durham Branch (N.C.) records 1913-1976 and undated	http://library.duke.edu/rubenstein/findingaids/aauwdurham/
abbot	Abbot Family papers 1733-1999 and undated (bulk 1860-1910)	http://library.duke.edu/rubenstein/findingaids/abbot/
abercrombiefitchcatalogs	Abercrombie & Fitch Quarterly Catalog collection 1997-2007	http://library.duke.edu/rubenstein/findingaids/abercrombiefitchcatalogs/
abortioncarenetwork	Abortion Care Network records 2007-2012 and undated	http://library.duke.edu/rubenstein/findingaids/abortioncarenetwork/
abortionconversationproject	Abortion Conversation Project records 2000-2008	http://library.duke.edu/rubenstein/findingaids/abortionconversationproject/
achenbaumalvin	Alvin A. Achenbaum papers 1948-2011 and undated	http://library.duke.edu/rubenstein/findingaids/achenbaumalvin/
acker	Kathy Acker papers 1972-1997 and undated	http://library.duke.edu/rubenstein/findingaids/acker/
acluofnc	American Civil Liberties Union of North Carolina records 1960-2011 and undated	http://library.duke.edu/rubenstein/findingaids/acluofnc/
adcouncil	Advertising Council records 1935-1999 and undated	http://library.duke.edu/rubenstein/findingaids/adcouncil/
adfadfcob	American Dance Festival Company and Biographical Reference collection 1934-2003	http://library.duke.edu/rubenstein/findingaids/adfadfcob/
adfadfphoto	American Dance Festival Photographic Materials collection circa 1930-2008	http://library.duke.edu/rubenstein/findingaids/adfadfphoto/
adfcrmi	Charles Reinhart Management, Inc. records 1956-1992	http://library.duke.edu/rubenstein/findingaids/adfcrmi/
adfdancepages	Dance Pages records 1930-1997, bulk 1982-1997	http://library.duke.edu/rubenstein/findingaids/adfdancepages
adfdeanlaura	Laura Dean papers 1966-2007	http://library.duke.edu/rubenstein/findingaids/adfdeanlaura/
adfdendymark	Mark Dendy papers 1981-2013	http://library.duke.edu/rubenstein/findingaids/adfdendymark/
adfethelchaffin	Ethel Tison Chaffin papers circa 1930-1993	http://library.duke.edu/rubenstein/findingaids/adfetheltisonchaffin
adffreetodance	Free to Dance records 1987-2004	http://library.duke.edu/rubenstein/findingaids/adffreetodance/
