container type,occurrence,Inherit_Box_if_not_present?
39,1,No
audiocassette,360,Yes
Audio-cassette,308,Yes
Audio-disc,1,Yes
box,119618,No
box3,1,No
case,308,No
Cassette_Box,4,No
cd,85,No
cigar-box,9,No
datacd,3,Yes
Data-CD,10,Yes
Disk,20,Yes
Drawer,2,No
dvd,3,Yes
efolder,114,No
Film-reel,16,No
folder,32028,Yes
Framed_Item,1,No
Framed-Item,4,No
image,3107,Yes
Index_Box,8,Yes
item,8387,Yes
map-case,4,No
MC,4,No
notebook,12,Yes
oimage,2,No
oimagefolder,3,No
opaper,3,No
opaperfolder,3363,No
oversize,45,No
oversizebox,216,No
Oversize-Box,930,No
oversizecabinet,93,No
oversizefolder,1,No
photoalbum,6,Yes
print,748,Yes
Reel,1654,No
scrapbook,10,Yes
Server,1,No
Slide_Box,15,No
Stacks,1,No
Tape,11,Yes
Tapes,1,Yes
tube,82,No
vault,2,No
videocassette,699,No
Video-cassette,13,No
videotape,20,Yes
Vol.,134,No
volume,4786,No
